sample,gene_family,transcript_name,transcript_length,nr_reads,min_read_len,median_read_len,max_read_len
Human 2,TSPY,longer_from_REPLICATE2_transcript_350_support_3,359,110,293,304,1138
Human 2,TSPY,longer_from_REPLICATE1_transcript_41_support_2,296,238,276,283,291
Human 2,TSPY,longer_from_REPLICATE1_transcript_213_support_9,397,69,324,340,393
Human 2,VCY_cb,longer_from_REPLICATE1_transcript_5_support_2,269,100,227,237,263
Human 2,VCY_cb,longer_from_REPLICATE2_transcript_54_support_5,875,301,51,780,2579
Human 2,VCY_cb,REPLICATE1_transcript_164_support_5REPLICATE2_transcript_55_support_6,635,159,239,570,645
Human 2,VCY_cb,REPLICATE1_transcript_146_support_3REPLICATE2_transcript_48_support_3,720,233,442,529,1675
Human 2,VCY_cb,longer_from_REPLICATE1_transcript_94_support_3,796,11,766,776,778
Human 2,VCY_cb,longer_from_REPLICATE1_transcript_45_support_4,462,191,50,353,2021
Human 2,VCY_cb,longer_from_REPLICATE1_transcript_138_support_2,775,26,650,1445,1462
Human 2,VCY_cb,longer_from_REPLICATE2_transcript_69_support_2,780,19,340,732,1390
Human 2,VCY_cb,longer_from_REPLICATE1_transcript_65_support_3,286,234,50,237,2393
Human 2,VCY_cb,longer_from_REPLICATE1_transcript_135_support_43,780,238,486,698.5,967
Human 2,VCY_cb,longer_from_REPLICATE1_transcript_37_support_3,269,120,70,234,1854
Human 2,VCY_cb,longer_from_REPLICATE1_transcript_161_support_2,780,47,679,746,760
Human 2,VCY_cb,longer_from_REPLICATE1_transcript_345_support_3,474,217,51,423,488
Human 2,VCY_cb,longer_from_REPLICATE2_transcript_244_support_2,872,190,79,653.5,878
Human 2,VCY_cb,longer_from_REPLICATE2_transcript_40_support_4,600,11,591,601,3723
Human 2,VCY_cb,longer_from_REPLICATE1_transcript_443_support_2,843,154,758,780,2194
Human 2,VCY_h,REPLICATE1_transcript_120_support_3REPLICATE2_transcript_21_support_10,539,79,198,532,561
Human 2,VCY_h,REPLICATE1_transcript_103_support_134REPLICATE2_transcript_91_support_129,539,997,451,539,602
Human 2,VCY_h,REPLICATE1_transcript_119_support_2REPLICATE2_transcript_19_support_2,539,66,100,534.5,2913
Human 2,VCY_h,longer_from_REPLICATE2_transcript_40_support_5,467,84,290,319,416
Human 2,VCY_h,longer_from_REPLICATE2_transcript_134_support_7,84,13,52,380,1060
Human 2,VCY_h,longer_from_REPLICATE2_transcript_209_support_2,153,51,55,122,2419
Human 2,VCY_h,longer_from_REPLICATE2_transcript_204_support_4,475,26,371,400,432
Human 2,VCY_h,longer_from_REPLICATE1_transcript_51_support_2,520,21,395,422,436
Human 2,VCY_h,longer_from_REPLICATE2_transcript_100_support_2,539,105,178,521,1861
Human 2,VCY_h,REPLICATE1_transcript_108_support_5REPLICATE2_transcript_81_support_2,539,31,532,562,2341
Human 2,VCY_h,REPLICATE1_transcript_114_support_2REPLICATE2_transcript_108_support_2,539,19,279,364,545
Human 2,VCY_h,longer_from_REPLICATE1_transcript_6_support_3,212,466,55,175,235
Human 2,VCY_h,longer_from_REPLICATE2_transcript_7_support_3,368,59,274,301,337
Human 2,VCY_h,REPLICATE1_transcript_38_support_15REPLICATE2_transcript_222_support_14,193,240,153,187,229
Human 2,XKRY,longer_from_REPLICATE2_transcript_35_support_12,121,12,67,70,71
Human 2,XKRY,longer_from_REPLICATE1_transcript_15_support_2,1352,75,50,299,2283
Human 2,XKRY,longer_from_REPLICATE1_transcript_18_support_5,1568,7,1557,1559,1560
Human 2,XKRY,longer_from_REPLICATE1_transcript_17_support_4,779,8,711,743,2004
Human 2,XKRY,longer_from_REPLICATE2_transcript_8_support_4,529,105,50,168,3883
Human 2,XKRY,REPLICATE1_transcript_27_support_8REPLICATE2_transcript_19_support_8,1359,36,1340,1361,1369
Human 2,XKRY,longer_from_REPLICATE2_transcript_44_support_41,666,20,89,670.5,2447
Human 2,XKRY,longer_from_REPLICATE2_transcript_13_support_3,476,59,100,368,2453
Human 2,XKRY,longer_from_REPLICATE1_transcript_22_support_20,1224,79,73,682,2176
Human 2,XKRY,longer_from_REPLICATE1_transcript_75_support_23,1597,130,54,1595,2071
Human 2,XKRY,longer_from_REPLICATE1_transcript_28_support_3,1277,29,140,426,1196
Human 2,XKRY,REPLICATE1_transcript_83_support_5REPLICATE2_transcript_64_support_2,1600,334,361,371,1796
Human 2,XKRY,longer_from_REPLICATE2_transcript_76_support_3,1025,155,53,394,3199
Chimpanzee 1,CDY,longer_from_REPLICATE2_transcript_249_support_4,2204,9,2165,2201,2220
Chimpanzee 1,CDY,longer_from_REPLICATE2_transcript_23_support_2,1965,107,281,1931,2391
Chimpanzee 1,CDY,longer_from_REPLICATE2_transcript_80_support_3,2308,8,2282,2291.5,2321
Chimpanzee 1,CDY,REPLICATE1_transcript_13_support_9REPLICATE2_transcript_19_support_3,1964,77,1026,1947,1973
Chimpanzee 1,CDY,longer_from_REPLICATE1_transcript_196_support_3,1927,15,1921,1923,1945
Chimpanzee 1,CDY,REPLICATE1_transcript_12_support_3REPLICATE2_transcript_18_support_3,1964,159,495,1924,1985
Chimpanzee 1,CDY,REPLICATE1_transcript_124_support_10REPLICATE2_transcript_170_support_6,1467,34,1371,1467,1494
Chimpanzee 1,CDY,longer_from_REPLICATE1_transcript_164_support_4,1910,25,430,457,2036
Chimpanzee 1,CDY,longer_from_REPLICATE1_transcript_205_support_4,1729,2,1684,1689.5,1695
Chimpanzee 1,CDY,REPLICATE1_transcript_184_support_18REPLICATE2_transcript_263_support_13,1927,77,1914,1928,1951
Chimpanzee 1,CDY,longer_from_REPLICATE2_transcript_283_support_3,1927,7,1923,1928,1936
Chimpanzee 1,CDY,REPLICATE1_transcript_191_support_8REPLICATE2_transcript_271_support_11,1927,32,1889,1927.5,1938
Chimpanzee 1,CDY,REPLICATE1_transcript_202_support_5REPLICATE2_transcript_288_support_5,1574,51,1554,1585,1699
Chimpanzee 1,DAZ,longer_from_REPLICATE1_transcript_135_support_5,3656,9,574,3604,3627
Chimpanzee 1,DAZ,longer_from_REPLICATE2_transcript_10_support_3,770,8,201,648.5,680
Chimpanzee 1,DAZ,REPLICATE1_transcript_126_support_3REPLICATE2_transcript_210_support_2,562,37,535,567,3562
Chimpanzee 1,DAZ,longer_from_REPLICATE1_transcript_97_support_3,2990,28,1207,2970,3006
Chimpanzee 1,DAZ,longer_from_REPLICATE1_transcript_60_support_2,3654,13,912,3636,3664
Chimpanzee 1,DAZ,longer_from_REPLICATE2_transcript_186_support_3,3054,147,2940,2971,3104
Chimpanzee 1,DAZ,longer_from_REPLICATE2_transcript_216_support_3,3290,8,561,587.5,3204
Chimpanzee 1,DAZ,longer_from_REPLICATE2_transcript_63_support_3,1944,13,1937,1974,1986
Chimpanzee 1,DAZ,longer_from_REPLICATE2_transcript_124_support_2,2413,60,503,2320,2425
Chimpanzee 1,DAZ,longer_from_REPLICATE1_transcript_101_support_7,2763,5,2662,2670,2702
Chimpanzee 1,DAZ,longer_from_REPLICATE2_transcript_112_support_4,2286,28,1518,2248,2296
Chimpanzee 1,DAZ,longer_from_REPLICATE2_transcript_137_support_3,2636,11,2552,2561,2567
Chimpanzee 1,DAZ,longer_from_REPLICATE1_transcript_8_support_5,2290,6,2270,2284.5,2303
Chimpanzee 1,DAZ,longer_from_REPLICATE1_transcript_151_support_4,1067,15,185,499,1045
Chimpanzee 1,DAZ,REPLICATE1_transcript_92_support_3REPLICATE2_transcript_149_support_3,2411,23,2333,2410,2465
Chimpanzee 1,DAZ,longer_from_REPLICATE2_transcript_273_support_5,2751,3,2695,2724,2730
Chimpanzee 1,DAZ,longer_from_REPLICATE2_transcript_311_support_5,2436,6,2430,2441.5,2488
Chimpanzee 1,DAZ,REPLICATE1_transcript_38_support_3REPLICATE2_transcript_66_support_4,2968,32,2964,2973,3006
Chimpanzee 1,DAZ,longer_from_REPLICATE1_transcript_25_support_3,3318,56,3254,3298,3336
Chimpanzee 1,HSFY,REPLICATE1_transcript_60_support_40REPLICATE2_transcript_78_support_61,377,609,356,377,449
Chimpanzee 1,HSFY,longer_from_REPLICATE2_transcript_15_support_9,539,46,449,519,658
Chimpanzee 1,HSFY,REPLICATE1_transcript_58_support_16REPLICATE2_transcript_75_support_13,378,365,295,333,2985
Chimpanzee 1,HSFY,longer_from_REPLICATE2_transcript_140_support_6,407,41,367,1080,1101
Chimpanzee 1,HSFY,longer_from_REPLICATE2_transcript_3_support_2,545,15,269,545,679
Chimpanzee 1,HSFY,REPLICATE1_transcript_100_support_2REPLICATE2_transcript_138_support_2,361,480,292,362,387
Chimpanzee 1,HSFY,longer_from_REPLICATE1_transcript_97_support_4,523,41,276,521,789
Chimpanzee 1,PRY,REPLICATE1_transcript_1_support_6REPLICATE2_transcript_0_support_4,408,38,277,409,1054
Chimpanzee 1,PRY,longer_from_REPLICATE1_transcript_6_support_4,288,41,165,433,930
Chimpanzee 1,PRY,longer_from_REPLICATE1_transcript_4_support_5,1666,32,67,336,1682
Chimpanzee 1,PRY,REPLICATE1_transcript_0_support_10REPLICATE2_transcript_0_support_12,102,38,85,102,168
Chimpanzee 1,PRY,longer_from_REPLICATE1_transcript_20_support_4,118,30,102,115,120
Chimpanzee 1,PRY,longer_from_REPLICATE2_transcript_53_support_7,289,45,158,642,3342
Chimpanzee 1,PRY,REPLICATE1_transcript_3_support_13REPLICATE2_transcript_2_support_22,534,97,519,534,548
Chimpanzee 1,PRY,REPLICATE1_transcript_4_support_9REPLICATE2_transcript_4_support_11,712,127,344,711,727
Chimpanzee 1,PRY,longer_from_REPLICATE2_transcript_5_support_3,955,51,329,928,961
Chimpanzee 1,PRY,REPLICATE1_transcript_9_support_5REPLICATE2_transcript_5_support_3,582,68,100,897.5,1356
Chimpanzee 1,PRY,longer_from_REPLICATE1_transcript_8_support_4,403,36,199,506,2905
Chimpanzee 1,PRY,REPLICATE1_transcript_5_support_4REPLICATE2_transcript_3_support_4,582,18,579,582.5,594
Chimpanzee 1,PRY,REPLICATE1_transcript_7_support_9REPLICATE2_transcript_12_support_25,364,73,346,365,379
Chimpanzee 1,PRY,REPLICATE1_transcript_5_support_3REPLICATE2_transcript_4_support_3,390,46,98,390,1045
Chimpanzee 1,PRY,REPLICATE1_transcript_1_support_16REPLICATE2_transcript_2_support_8,142,57,139,142,811
Chimpanzee 1,PRY,longer_from_REPLICATE2_transcript_17_support_3,1626,14,1527,1619.5,1671
Chimpanzee 1,PRY,REPLICATE1_transcript_6_support_8REPLICATE2_transcript_13_support_6,1614,36,1596,1617,1655
Chimpanzee 1,PRY,REPLICATE1_transcript_3_support_3REPLICATE2_transcript_3_support_3,627,38,188,611,2123
Chimpanzee 1,PRY,REPLICATE1_transcript_31_support_3REPLICATE2_transcript_45_support_2,550,23,528,593,3167
Chimpanzee 1,PRY,REPLICATE1_transcript_5_support_15REPLICATE2_transcript_1_support_10,710,49,688,711,745
Chimpanzee 1,PRY,longer_from_REPLICATE2_transcript_43_support_2,109,27,67,1965,2583
Chimpanzee 1,PRY,longer_from_REPLICATE1_transcript_14_support_3,888,23,63,177,889
Chimpanzee 1,PRY,REPLICATE1_transcript_1_support_16REPLICATE2_transcript_2_support_12,802,81,140,802,813
Chimpanzee 1,PRY,REPLICATE1_transcript_11_support_218REPLICATE2_transcript_21_support_408,100,1284,67,100,1682
Chimpanzee 1,PRY,longer_from_REPLICATE2_transcript_32_support_2,100,4,54,57,62
Chimpanzee 1,PRY,REPLICATE1_transcript_6_support_15REPLICATE2_transcript_5_support_15,534,119,63,534,889
Chimpanzee 1,PRY,longer_from_REPLICATE1_transcript_13_support_3,347,7,326,348,1614
Chimpanzee 1,PRY,REPLICATE1_transcript_10_support_41REPLICATE2_transcript_19_support_49,398,604,291,399,453
Chimpanzee 1,PRY,REPLICATE1_transcript_3_support_3REPLICATE2_transcript_2_support_5,188,36,188,375,2123
Chimpanzee 1,PRY,REPLICATE1_transcript_37_support_123REPLICATE2_transcript_50_support_156,679,1167,637,679,700
Chimpanzee 1,PRY,REPLICATE1_transcript_1_support_14REPLICATE2_transcript_1_support_35,104,84,101,104,107
Chimpanzee 1,RBMY,longer_from_REPLICATE2_transcript_42_support_5,547,14,503,506,517
Chimpanzee 1,RBMY,longer_from_REPLICATE2_transcript_135_support_4,241,22,97,147,240
Chimpanzee 1,RBMY,longer_from_REPLICATE2_transcript_117_support_3,505,12,415,433,455
Chimpanzee 1,RBMY,longer_from_REPLICATE1_transcript_48_support_4,893,15,495,542,1975
Chimpanzee 1,RBMY,REPLICATE1_transcript_8_support_8REPLICATE2_transcript_9_support_14,1046,107,1000,1045,1190
Chimpanzee 1,RBMY,longer_from_REPLICATE2_transcript_48_support_3,467,36,165,495.5,2123
Chimpanzee 1,RBMY,longer_from_REPLICATE1_transcript_10_support_4,602,64,346,430.5,2599
Chimpanzee 1,RBMY,longer_from_REPLICATE1_transcript_1_support_3,688,43,501,511,725
Chimpanzee 1,RBMY,longer_from_REPLICATE2_transcript_136_support_3,579,15,528,550,572
Chimpanzee 1,RBMY,longer_from_REPLICATE2_transcript_20_support_5,509,5,499,502,503
Chimpanzee 1,RBMY,REPLICATE1_transcript_31_support_6REPLICATE2_transcript_47_support_3,1887,19,574,1888,1904
Chimpanzee 1,RBMY,longer_from_REPLICATE2_transcript_80_support_5,378,4,371,371.5,376
Chimpanzee 1,RBMY,longer_from_REPLICATE2_transcript_170_support_4,693,179,498,672,3031
Chimpanzee 1,RBMY,longer_from_REPLICATE2_transcript_54_support_4,671,9,353,361,624
Chimpanzee 1,RBMY,longer_from_REPLICATE1_transcript_52_support_2,603,179,346,422,616
Chimpanzee 1,RBMY,longer_from_REPLICATE2_transcript_151_support_3,1884,4,1841,1857.5,1861
Chimpanzee 1,RBMY,longer_from_REPLICATE2_transcript_89_support_6,1888,12,1841,1886.5,1898
Chimpanzee 1,TSPY,longer_from_REPLICATE2_transcript_340_support_3,285,16,285,645,658
Chimpanzee 1,TSPY,REPLICATE1_transcript_94_support_3REPLICATE2_transcript_3_support_9,284,56,232,285,1342
Chimpanzee 1,TSPY,REPLICATE1_transcript_51_support_12REPLICATE2_transcript_129_support_13,1105,116,1086,1106,1122
Chimpanzee 1,TSPY,REPLICATE1_transcript_96_support_10REPLICATE2_transcript_346_support_10,199,51,153,199,230
Chimpanzee 1,TSPY,longer_from_REPLICATE2_transcript_28_support_5,750,17,640,670,1965
Chimpanzee 1,TSPY,longer_from_REPLICATE2_transcript_26_support_3,477,29,342,368,445
Chimpanzee 1,TSPY,longer_from_REPLICATE1_transcript_87_support_7,284,2,253,255,257
Chimpanzee 1,TSPY,REPLICATE1_transcript_27_support_6REPLICATE2_transcript_4_support_11,368,715,258,284,726
Chimpanzee 1,TSPY,longer_from_REPLICATE1_transcript_71_support_3,659,19,429,2527,2599
Chimpanzee 1,TSPY,REPLICATE1_transcript_23_support_6REPLICATE2_transcript_33_support_7,133,37,81,129,159
Chimpanzee 1,TSPY,longer_from_REPLICATE2_transcript_60_support_6,274,109,166,256,270
Chimpanzee 1,TSPY,longer_from_REPLICATE2_transcript_42_support_2,235,5,166,180,188
Chimpanzee 1,TSPY,REPLICATE1_transcript_131_support_9REPLICATE2_transcript_398_support_14,256,66,236,256,280
Chimpanzee 1,TSPY,longer_from_REPLICATE2_transcript_151_support_2,638,3,633,634,639
Chimpanzee 1,TSPY,REPLICATE1_transcript_124_support_2REPLICATE2_transcript_384_support_13,285,233,225,256,298
Chimpanzee 1,TSPY,REPLICATE1_transcript_21_support_4REPLICATE2_transcript_66_support_6,1095,92,541,1095,1125
Chimpanzee 1,TSPY,longer_from_REPLICATE2_transcript_297_support_5,813,6,785,1152.5,1546
Chimpanzee 1,TSPY,REPLICATE1_transcript_105_support_3REPLICATE2_transcript_353_support_5,285,40,228,286,329
Chimpanzee 1,TSPY,longer_from_REPLICATE1_transcript_17_support_2,921,15,881,913,933
Chimpanzee 1,TSPY,longer_from_REPLICATE1_transcript_64_support_7,629,38,561,598,637
Chimpanzee 1,TSPY,longer_from_REPLICATE1_transcript_115_support_5,583,31,502,527,608
Chimpanzee 1,TSPY,longer_from_REPLICATE1_transcript_19_support_5,1100,8,1056,1083,1085
Chimpanzee 1,VCY_cb,longer_from_REPLICATE1_transcript_301_support_9,690,28,630,661,667
Chimpanzee 1,VCY_cb,longer_from_REPLICATE1_transcript_344_support_3,660,34,622,649,2994
Chimpanzee 1,VCY_cb,REPLICATE1_transcript_254_support_2REPLICATE2_transcript_342_support_6,755,170,650,662,769
Chimpanzee 1,VCY_cb,longer_from_REPLICATE1_transcript_288_support_2,564,26,521,535.5,542
Chimpanzee 1,VCY_cb,longer_from_REPLICATE1_transcript_209_support_5,540,15,508,526,538
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_63_support_2,674,4,660,662,664
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_110_support_19,675,103,637,661,692
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_484_support_5,703,98,645,680,983
Chimpanzee 1,VCY_cb,longer_from_REPLICATE1_transcript_203_support_3,631,8,617,629.5,638
Chimpanzee 1,VCY_cb,longer_from_REPLICATE1_transcript_200_support_3,632,15,573,599,617
Chimpanzee 1,VCY_cb,longer_from_REPLICATE1_transcript_340_support_3,690,42,634,648,673
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_382_support_2,571,43,499,522,538
Chimpanzee 1,VCY_cb,longer_from_REPLICATE1_transcript_47_support_7,674,14,653,662,668
Chimpanzee 1,VCY_cb,longer_from_REPLICATE1_transcript_315_support_7,685,13,658,663,673
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_453_support_6,660,15,593,628,641
Chimpanzee 1,VCY_cb,longer_from_REPLICATE1_transcript_437_support_2,662,13,655,662,666
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_69_support_3,642,15,598,624,632
Chimpanzee 1,VCY_cb,longer_from_REPLICATE1_transcript_347_support_6,660,18,623,631.5,653
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_223_support_2,661,6,649,657,661
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_221_support_14,660,34,645,655.5,681
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_280_support_28,540,30,527,534.5,571
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_433_support_3,686,17,653,670,680
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_446_support_4,691,20,682,685,696
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_28_support_3,260,33,172,211,241
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_491_support_3,290,33,193,265,464
Chimpanzee 1,VCY_cb,longer_from_REPLICATE1_transcript_8_support_3,289,24,260,267,1067
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_334_support_2,664,9,656,661,746
Chimpanzee 1,VCY_cb,REPLICATE1_transcript_86_support_7REPLICATE2_transcript_96_support_3,441,62,320,437.5,2291
Chimpanzee 1,VCY_cb,REPLICATE1_transcript_100_support_9REPLICATE2_transcript_118_support_2,676,89,666,680,1928
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_495_support_5,392,60,286,303,413
Chimpanzee 1,VCY_cb,longer_from_REPLICATE1_transcript_482_support_4,267,24,159,263,442
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_445_support_21,660,87,612,632,671
Chimpanzee 1,VCY_cb,REPLICATE1_transcript_239_support_6REPLICATE2_transcript_319_support_7,654,53,644,656,666
Chimpanzee 1,VCY_cb,REPLICATE1_transcript_224_support_12REPLICATE2_transcript_289_support_6,660,64,643,662,675
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_550_support_3,676,58,608,628,715
Chimpanzee 1,VCY_cb,REPLICATE1_transcript_251_support_4REPLICATE2_transcript_340_support_3,749,26,285,749.5,777
Chimpanzee 1,VCY_cb,longer_from_REPLICATE2_transcript_665_support_3,439,54,192,264.5,1321
Chimpanzee 1,XKRY,longer_from_REPLICATE1_transcript_67_support_7,1214,35,1151,1227,3006
Chimpanzee 1,XKRY,longer_from_REPLICATE1_transcript_105_support_2,695,67,646,671,683
Chimpanzee 1,XKRY,longer_from_REPLICATE2_transcript_258_support_3,1588,159,1570,1584,1630
Chimpanzee 1,XKRY,longer_from_REPLICATE2_transcript_288_support_5,1586,73,918,1581,1985
Chimpanzee 1,XKRY,REPLICATE1_transcript_49_support_26REPLICATE2_transcript_61_support_28,1556,296,1545,1557,1573
Chimpanzee 1,XKRY,longer_from_REPLICATE2_transcript_392_support_5,1315,3,1286,1288,1291
Chimpanzee 1,XKRY,longer_from_REPLICATE2_transcript_285_support_4,1492,6,1395,1460.5,1527
Chimpanzee 1,XKRY,longer_from_REPLICATE2_transcript_41_support_2,1572,62,1543,1557.5,1580
Chimpanzee 1,XKRY,longer_from_REPLICATE2_transcript_286_support_4,1585,54,1526,1547,1564
Chimpanzee 1,XKRY,longer_from_REPLICATE1_transcript_232_support_7,1348,86,1306,1346,1400
Chimpanzee 1,XKRY,longer_from_REPLICATE1_transcript_113_support_5,769,21,289,548,733
Chimpanzee 1,XKRY,longer_from_REPLICATE2_transcript_290_support_12,1242,4,1200,1210,1215
Chimpanzee 1,XKRY,REPLICATE1_transcript_129_support_3REPLICATE2_transcript_166_support_2,1003,140,678,944,3664
Chimpanzee 1,XKRY,longer_from_REPLICATE1_transcript_280_support_7,808,37,711,768,824
Chimpanzee 1,XKRY,longer_from_REPLICATE1_transcript_335_support_3,502,29,431,454,472
Chimpanzee 1,XKRY,longer_from_REPLICATE2_transcript_155_support_3,788,118,612,695,756
Chimpanzee 1,XKRY,longer_from_REPLICATE1_transcript_222_support_13,1587,187,1518,1581,1629
Chimpanzee 1,XKRY,longer_from_REPLICATE1_transcript_130_support_4,1058,97,667,905,1061
Chimpanzee 1,XKRY,longer_from_REPLICATE1_transcript_144_support_3,1389,30,330,1341.5,1368
Chimpanzee 2,CDY,longer_from_REPLICATE2_transcript_49_support_3,1587,10,1533,1543.5,1559
Chimpanzee 2,CDY,longer_from_REPLICATE1_transcript_141_support_3,1948,53,572,1928,1963
Chimpanzee 2,CDY,REPLICATE1_transcript_69_support_14REPLICATE2_transcript_66_support_13,1922,90,242,1922,1933
Chimpanzee 2,CDY,longer_from_REPLICATE1_transcript_250_support_4,1927,7,1903,1926,1933
Chimpanzee 2,CDY,longer_from_REPLICATE1_transcript_281_support_2,1927,14,1923,1927.5,1937
Chimpanzee 2,CDY,longer_from_REPLICATE2_transcript_106_support_2,1898,26,242,492.5,1906
Chimpanzee 2,CDY,longer_from_REPLICATE2_transcript_294_support_10,1934,11,1900,1931,1950
Chimpanzee 2,CDY,REPLICATE1_transcript_75_support_10REPLICATE2_transcript_73_support_5,1922,28,276,1924.5,1942
Chimpanzee 2,CDY,longer_from_REPLICATE1_transcript_273_support_6,1927,11,1920,1925,1930
Chimpanzee 2,CDY,longer_from_REPLICATE2_transcript_157_support_5,1934,18,1923,1927,2025
Chimpanzee 2,CDY,longer_from_REPLICATE1_transcript_178_support_4,1467,3,1439,1444,1446
Chimpanzee 2,CDY,longer_from_REPLICATE2_transcript_22_support_6,1937,9,1924,1929,1930
Chimpanzee 2,CDY,longer_from_REPLICATE2_transcript_4_support_7,1972,133,1905,1930,1976
Chimpanzee 2,CDY,longer_from_REPLICATE2_transcript_185_support_8,1467,5,1370,1393,1397
Chimpanzee 2,CDY,longer_from_REPLICATE2_transcript_193_support_2,1319,2,1317,1320,1323
Chimpanzee 2,CDY,longer_from_REPLICATE1_transcript_6_support_7,1972,2,1905,1906,1907
Chimpanzee 2,CDY,REPLICATE1_transcript_181_support_6REPLICATE2_transcript_188_support_3,1467,21,1461,1469,1554
Chimpanzee 2,CDY,longer_from_REPLICATE2_transcript_7_support_3,1972,13,1903,1925,1934
Chimpanzee 2,CDY,longer_from_REPLICATE1_transcript_3_support_2,1973,14,1953,1960,1969
Chimpanzee 2,DAZ,REPLICATE1_transcript_135_support_6REPLICATE2_transcript_127_support_6,2560,61,2527,2562,2595
Chimpanzee 2,DAZ,longer_from_REPLICATE1_transcript_18_support_2,71,114,56,363,1407
Chimpanzee 2,DAZ,longer_from_REPLICATE1_transcript_30_support_3,543,7,521,535,663
Chimpanzee 2,DAZ,longer_from_REPLICATE2_transcript_98_support_2,2049,11,457,1986,2043
Chimpanzee 2,DAZ,longer_from_REPLICATE1_transcript_139_support_2,2651,54,295,2516,2681
Chimpanzee 2,DAZ,REPLICATE1_transcript_38_support_5REPLICATE2_transcript_45_support_4,2968,17,2926,2971,2985
Chimpanzee 2,DAZ,REPLICATE1_transcript_59_support_9REPLICATE2_transcript_54_support_11,3584,75,3557,3586,3968
Chimpanzee 2,DAZ,REPLICATE1_transcript_204_support_3REPLICATE2_transcript_134_support_8,2254,63,2171,2234,2277
Chimpanzee 2,DAZ,longer_from_REPLICATE1_transcript_272_support_3,2159,7,2105,2128,2149
Chimpanzee 2,DAZ,longer_from_REPLICATE2_transcript_129_support_3,1580,26,591,609.5,1590
Chimpanzee 2,DAZ,longer_from_REPLICATE2_transcript_43_support_2,2418,24,361,1409.5,2370
Chimpanzee 2,DAZ,longer_from_REPLICATE1_transcript_258_support_2,3538,24,3399,3442.5,3575
Chimpanzee 2,DAZ,longer_from_REPLICATE1_transcript_12_support_3,3048,119,398,2968,3020
Chimpanzee 2,DAZ,longer_from_REPLICATE2_transcript_179_support_4,2823,11,2770,2800,3192
Chimpanzee 2,DAZ,longer_from_REPLICATE1_transcript_161_support_3,2386,130,768,2285,2479
Chimpanzee 2,DAZ,longer_from_REPLICATE1_transcript_68_support_3,1670,3,1651,1671,1690
Chimpanzee 2,DAZ,REPLICATE1_transcript_59_support_3REPLICATE2_transcript_54_support_5,981,42,218,237.5,1051
Chimpanzee 2,DAZ,longer_from_REPLICATE2_transcript_26_support_3,1928,89,532,557,1941
Chimpanzee 2,DAZ,REPLICATE1_transcript_15_support_6REPLICATE2_transcript_12_support_3,2458,59,585,2455,2490
Chimpanzee 2,DAZ,REPLICATE1_transcript_144_support_5REPLICATE2_transcript_135_support_2,1996,45,952,977,2029
Chimpanzee 2,DAZ,longer_from_REPLICATE1_transcript_2_support_8,2805,8,2751,2772,2854
Chimpanzee 2,DAZ,longer_from_REPLICATE1_transcript_176_support_6,2142,18,683,1402.5,2142
Chimpanzee 2,DAZ,REPLICATE1_transcript_16_support_4REPLICATE2_transcript_15_support_6,2318,81,362,386,2655
Chimpanzee 2,DAZ,REPLICATE1_transcript_34_support_5REPLICATE2_transcript_4_support_3,1312,31,583,1312,1765
Chimpanzee 2,DAZ,longer_from_REPLICATE1_transcript_79_support_6,2989,18,524,2969.5,2992
Chimpanzee 2,HSFY,REPLICATE1_transcript_37_support_22REPLICATE2_transcript_52_support_10,378,257,340,365,1900
Chimpanzee 2,HSFY,longer_from_REPLICATE1_transcript_4_support_3,592,48,91,339.5,595
Chimpanzee 2,HSFY,longer_from_REPLICATE2_transcript_10_support_2,324,33,151,623,1086
Chimpanzee 2,HSFY,longer_from_REPLICATE2_transcript_12_support_3,605,26,177,362,525
Chimpanzee 2,HSFY,REPLICATE1_transcript_1_support_5REPLICATE2_transcript_6_support_8,336,40,325,337,459
Chimpanzee 2,HSFY,longer_from_REPLICATE2_transcript_56_support_3,424,5,409,420,431
Chimpanzee 2,HSFY,REPLICATE1_transcript_42_support_63REPLICATE2_transcript_53_support_56,377,886,343,371,416
Chimpanzee 2,HSFY,REPLICATE1_transcript_11_support_3REPLICATE2_transcript_10_support_2,1274,63,260,867,1296
Chimpanzee 2,HSFY,longer_from_REPLICATE1_transcript_8_support_8,1040,18,56,766,1058
